CareerStage,IndustryCluster,CareerPath,JobTitle,JobSOCCode,EntryLevelWage,AverageWage,Skills,MatchScore
NOW,Advanced Manufacturing,Business Operations & Sales,Customer Service Representatives,43-4051,25850.0,34530.0,"['Customer Service', 'Teamwork', 'Research', 'Microsoft Office', 'Organizational Skills', 'Basic Accounting']",1
NOW,Advanced Manufacturing,Business Operations & Sales,Receptionists and Information Clerks,43-4171,21040.0,26600.0,"['Time Management', 'Basic Accounting', 'Teamwork', 'Resource Management']",0
"NOW,Advanced Manufacturing,Business Operations & Sales,""Office Clerks, General"",43-9061,22440,31640",,,,,,,"['Communication', 'Adaptability', 'Organizational Skills', 'Resource Management']",0
NEXT,Advanced Manufacturing,Business Operations & Sales,First-Line Supervisors of Non-Retail Sales Workers,41-1012,49660.0,71560.0,"['Microsoft Office', 'Time Management', 'Teamwork']",0
NEXT,Advanced Manufacturing,Business Operations & Sales,First-Line Supervisors of Office and Administrative Support Workers,43-1011,41230.0,56110.0,"['Customer Service', 'Teamwork', 'Time Management']",0
NEXT,Advanced Manufacturing,Business Operations & Sales,Executive Secretaries and Executive Administrative Assistants,43-6011,44750.0,57460.0,"['Microsoft Office', 'Basic Accounting', 'Critical Thinking', 'Teamwork', 'Resource Management']",0
LATER,Advanced Manufacturing,Business Operations & Sales,General and Operations Managers,11-1021,57360.0,106730.0,"['Basic Accounting', 'Microsoft Office', 'Critical Thinking', 'Communication', 'Organizational Skills']",0
LATER,Advanced Manufacturing,Business Operations & Sales,Sales Managers,nov.22,76040.0,133120.0,"['Scheduling', 'Critical Thinking', 'Resource Management', 'Microsoft Office', 'Communication']",0
"LATER,Advanced Manufacturing,Business Operations & Sales,""Sales Rep., Wholesale & Manufacturing, Technical & Scientific Products"",41-4011,54250,84320",,,,,,,"['Scheduling', 'Basic Accounting', 'Time Management', 'Customer Service', 'Resource Management']",0
NEXT,Advanced Manufacturing,Engineering and Maintenance,Electrical and Electronics Drafters,17-3012,43610.0,55370.0,"['Research', 'Teamwork', 'Scheduling', 'Critical Thinking', 'Resource Management', 'Communication']",1
NEXT,Advanced Manufacturing,Engineering and Maintenance,Mechanical Drafters,17-3013,39640.0,51900.0,"['Organizational Skills', 'Customer Service', 'Microsoft Office', 'Research']",1
NEXT,Advanced Manufacturing,Engineering and Maintenance,Civil Engineering Technicians,17-3022,39480.0,51060.0,"['Microsoft Office', 'Research', 'Organizational Skills', 'Time Management']",1
NEXT,Advanced Manufacturing,Engineering and Maintenance,Electrical and Electronic Engineering Technicians,17-3023,49320.0,62330.0,"['Basic Accounting', 'Teamwork', 'Resource Management', 'Scheduling', 'Adaptability', 'Microsoft Office']",0
NEXT,Advanced Manufacturing,Engineering and Maintenance,Industrial Engineering Technicians,17-3026,42650.0,61840.0,"['Basic Accounting', 'Time Management', 'Customer Service']",0
NEXT,Advanced Manufacturing,Engineering and Maintenance,Mechanical Engineering Technicians,17-3027,37960.0,53490.0,"['Adaptability', 'Research', 'Teamwork', 'Organizational Skills']",1
NEXT,Advanced Manufacturing,Engineering and Maintenance,Industrial Machinery Mechanics,49-9041,40560.0,54310.0,"['Critical Thinking', 'Organizational Skills', 'Time Management', 'Scheduling', 'Resource Management', 'Communication']",0
LATER,Advanced Manufacturing,Engineering and Maintenance,Architectural and Engineering Managers,nov.41,106270.0,135440.0,"['Organizational Skills', 'Customer Service', 'Resource Management', 'Time Management', 'Communication']",0
LATER,Advanced Manufacturing,Engineering and Maintenance,Civil Engineers,17-2051,61710.0,85090.0,"['Teamwork', 'Organizational Skills', 'Microsoft Office', 'Customer Service']",0
LATER,Advanced Manufacturing,Engineering and Maintenance,Electrical Engineers,17-2071,73490.0,94530.0,"['Microsoft Office', 'Organizational Skills', 'Adaptability', 'Customer Service', 'Teamwork']",0
LATER,Advanced Manufacturing,Engineering and Maintenance,Industrial Engineers,17-2112,65960.0,86620.0,"['Resource Management', 'Adaptability', 'Basic Accounting']",0
LATER,Advanced Manufacturing,Engineering and Maintenance,Mechanical Engineers,17-2141,66350.0,86360.0,"['Customer Service', 'Critical Thinking', 'Time Management', 'Basic Accounting']",0
NEXT,Advanced Manufacturing,Production,Electricians,47-2111,46530.0,61630.0,"['Customer Service', 'Research', 'Microsoft Office', 'Critical Thinking', 'Scheduling', 'Teamwork']",1
NEXT,Advanced Manufacturing,Production,Sheet Metal Workers,47-2211,38160.0,63400.0,"['Customer Service', 'Resource Management', 'Organizational Skills', 'Teamwork', 'Adaptability', 'Critical Thinking']",0
NEXT,Advanced Manufacturing,Production,Millwrights,49-9044,38550.0,58140.0,"['Research', 'Critical Thinking', 'Microsoft Office', 'Adaptability', 'Basic Accounting', 'Communication']",1
NEXT,Advanced Manufacturing,Production,First-Line Supervisors of Production and Operating Workers,51-1011,41920.0,57630.0,"['Research', 'Organizational Skills', 'Customer Service']",1
"NEXT,Advanced Manufacturing,Production,""Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"",51-4012,39610,51140",,,,,,,"['Time Management', 'Communication', 'Customer Service', 'Scheduling', 'Research', 'Critical Thinking']",1
NEXT,Advanced Manufacturing,Production,Machinists,51-4041,32850.0,44660.0,"['Resource Management', 'Microsoft Office', 'Scheduling', 'Time Management', 'Adaptability', 'Research']",1
NEXT,Advanced Manufacturing,Production,Tool and Die Makers,51-4111,43880.0,58590.0,"['Adaptability', 'Critical Thinking', 'Research', 'Resource Management', 'Organizational Skills', 'Basic Accounting']",1
LATER,Advanced Manufacturing,Production,Industrial Production Managers,nov.51,71430.0,101000.0,"['Customer Service', 'Research', 'Microsoft Office']",1
NOW,Bioscience,Animal Sciences,Nonfarm Animal Caretakers,39-2021,18350.0,23630.0,"['Basic Accounting', 'Organizational Skills', 'Critical Thinking', 'Microsoft Office', 'Teamwork']",0
"NOW,Bioscience,Animal Sciences,""Farmworkers, Farm, Ranch, and Aquacultural Animals"",45-2093,20980,25970",,,,,,,"['Teamwork', 'Customer Service', 'Resource Management', 'Organizational Skills']",0
NEXT,Bioscience,Animal Sciences,Veterinary Technologists and Technicians,29-2056,27560.0,34840.0,"['Time Management', 'Microsoft Office', 'Resource Management']",0
LATER,Bioscience,Animal Sciences,Veterinarians,29-1131,69360.0,96250.0,"['Research', 'Communication', 'Microsoft Office', 'Resource Management', 'Customer Service']",1
NEXT,Bioscience,Production,Industrial Engineering Technicians,17-3026,42650.0,61840.0,"['Teamwork', 'Customer Service', 'Adaptability', 'Scheduling', 'Resource Management']",0
NEXT,Bioscience,Production,Mechanical Engineering Technicians,17-3027,37960.0,53490.0,"['Adaptability', 'Communication', 'Teamwork', 'Customer Service', 'Basic Accounting']",0
