CareerStage,IndustryCluster,CareerPath,JobTitle,JobSOCCode,EntryLevelWage,AverageWage
NOW,Advanced Manufacturing,Business Operations & Sales,Customer Service Representatives,43-4051,25850,34530
NOW,Advanced Manufacturing,Business Operations & Sales,Receptionists and Information Clerks,43-4171,21040,26600
"NOW,Advanced Manufacturing,Business Operations & Sales,""Office Clerks, General"",43-9061,22440,31640"
NEXT,Advanced Manufacturing,Business Operations & Sales,First-Line Supervisors of Non-Retail Sales Workers,41-1012,49660,71560
NEXT,Advanced Manufacturing,Business Operations & Sales,First-Line Supervisors of Office and Administrative Support Workers,43-1011,41230,56110
NEXT,Advanced Manufacturing,Business Operations & Sales,Executive Secretaries and Executive Administrative Assistants,43-6011,44750,57460
LATER,Advanced Manufacturing,Business Operations & Sales,General and Operations Managers,11-1021,57360,106730
LATER,Advanced Manufacturing,Business Operations & Sales,Sales Managers,nov.22,76040,133120
"LATER,Advanced Manufacturing,Business Operations & Sales,""Sales Rep., Wholesale & Manufacturing, Technical & Scientific Products"",41-4011,54250,84320"
NEXT,Advanced Manufacturing,Engineering and Maintenance,Electrical and Electronics Drafters,17-3012,43610,55370
NEXT,Advanced Manufacturing,Engineering and Maintenance,Mechanical Drafters,17-3013,39640,51900
NEXT,Advanced Manufacturing,Engineering and Maintenance,Civil Engineering Technicians,17-3022,39480,51060
NEXT,Advanced Manufacturing,Engineering and Maintenance,Electrical and Electronic Engineering Technicians,17-3023,49320,62330
NEXT,Advanced Manufacturing,Engineering and Maintenance,Industrial Engineering Technicians,17-3026,42650,61840
NEXT,Advanced Manufacturing,Engineering and Maintenance,Mechanical Engineering Technicians,17-3027,37960,53490
NEXT,Advanced Manufacturing,Engineering and Maintenance,Industrial Machinery Mechanics,49-9041,40560,54310
LATER,Advanced Manufacturing,Engineering and Maintenance,Architectural and Engineering Managers,nov.41,106270,135440
LATER,Advanced Manufacturing,Engineering and Maintenance,Civil Engineers,17-2051,61710,85090
LATER,Advanced Manufacturing,Engineering and Maintenance,Electrical Engineers,17-2071,73490,94530
LATER,Advanced Manufacturing,Engineering and Maintenance,Industrial Engineers,17-2112,65960,86620
LATER,Advanced Manufacturing,Engineering and Maintenance,Mechanical Engineers,17-2141,66350,86360
NEXT,Advanced Manufacturing,Production,Electricians,47-2111,46530,61630
NEXT,Advanced Manufacturing,Production,Sheet Metal Workers,47-2211,38160,63400
NEXT,Advanced Manufacturing,Production,Millwrights,49-9044,38550,58140
NEXT,Advanced Manufacturing,Production,First-Line Supervisors of Production and Operating Workers,51-1011,41920,57630
